Date: 14th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
101,17,42,171,212,101,54,166,135,45,168,126,100
102,18,42,171,210,102,55,166,136,46,168,126,100
102,17,42,171,213,102,55,167,136,45,169,126,100
102,18,42,171,210,102,55,166,136,46,168,126,100
101,18,42,171,210,101,54,166,135,46,167,126,100
102,18,41,172,210,102,55,167,137,46,168,125,100
102,18,41,172,210,102,55,167,137,46,168,125,100
102,18,42,171,210,102,55,166,136,46,168,126,100
101,18,41,172,210,101,54,166,136,45,168,126,100
Date: 283
r,g,b,h,s,v,l,a,lab,y,cr,cb
63,9,77,144,225,77,37,163,100,33,149,153,3
101,17,42,171,212,101,54,166,135,45,168,126,3
94,18,40,171,206,94,51,164,134,43,164,126,3
100,17,41,171,212,100,54,166,136,45,167,126,3
100,17,42,171,212,100,54,166,135,45,167,126,3
104,19,37,174,208,104,56,166,140,46,169,123,3
100,17,42,171,212,100,54,166,135,45,167,126,3
101,17,41,171,212,101,54,167,136,45,168,126,3
94,18,40,171,206,94,51,164,134,43,164,126,3
94,18,40,171,206,94,51,164,134,43,164,126,3
100,17,41,171,212,100,54,166,136,45,167,126,45
100,17,42,171,212,100,54,166,135,45,167,126,45
100,17,42,171,212,100,54,166,135,45,167,126,45
101,17,42,171,212,101,54,166,135,45,168,126,45
100,17,42,171,212,100,54,166,135,45,167,126,45
101,17,41,171,212,101,54,167,136,45,168,126,45
100,17,42,171,212,100,54,166,135,45,167,126,45
94,19,40,172,203,94,51,163,135,44,164,126,45
101,17,41,171,212,101,54,167,136,45,168,126,45
93,19,40,171,203,93,51,163,134,44,163,126,45
Date: 4356
r,g,b,h,s,v,l,a,lab,y,cr,cb
63,9,77,144,225,77,37,163,100,33,149,153,32
100,17,42,171,212,100,54,166,135,45,167,126,32
101,17,42,171,212,101,54,166,135,45,168,126,32
96,20,37,173,202,96,53,163,138,45,164,123,32
93,18,40,171,206,93,50,163,134,43,164,126,32
100,17,41,171,212,100,54,166,136,45,167,126,32
100,17,42,171,212,100,54,166,135,45,167,126,32
101,17,41,171,212,101,54,167,136,45,168,126,32
100,17,42,171,212,100,54,166,135,45,167,126,32
101,17,41,171,212,101,54,167,136,45,168,126,32
Date: 7
r,g,b,h,s,v,l,a,lab,y,cr,cb
63,9,77,144,225,77,37,163,100,33,149,153,9
96,20,37,173,202,96,53,163,138,45,164,123,9
99,17,41,171,211,99,53,166,135,44,167,126,9
100,17,41,171,212,100,54,166,136,45,167,126,9
101,17,42,171,212,101,54,166,135,45,168,126,9
100,17,42,171,212,100,54,166,135,45,167,126,9
100,17,42,171,212,100,54,166,135,45,167,126,9
100,17,42,171,212,100,54,166,135,45,167,126,9
99,17,42,171,211,99,53,166,134,44,167,127,9
99,17,42,171,211,99,53,166,134,44,167,127,9
101,17,41,171,212,101,54,167,136,45,168,126,90
101,17,41,171,212,101,54,167,136,45,168,126,90
100,17,42,171,212,100,54,166,135,45,167,126,90
101,17,41,171,212,101,54,167,136,45,168,126,90
100,17,42,171,212,100,54,166,135,45,167,126,90
101,17,41,171,212,101,54,167,136,45,168,126,90
101,17,41,171,212,101,54,167,136,45,168,126,90
101,17,41,171,212,101,54,167,136,45,168,126,90
101,17,42,171,212,101,54,166,135,45,168,126,90
101,17,42,171,212,101,54,166,135,45,168,126,90
100,17,41,171,212,100,54,166,136,45,167,126,45
101,17,41,171,212,101,54,167,136,45,168,126,45
99,17,41,171,211,99,53,166,135,44,167,126,45
93,18,41,171,206,93,50,163,133,43,164,127,45
101,17,42,171,212,101,54,166,135,45,168,126,45
101,17,42,171,212,101,54,166,135,45,168,126,45
99,17,41,171,211,99,53,166,135,44,167,126,45
99,17,41,171,211,99,53,166,135,44,167,126,45
100,17,42,171,212,100,54,166,135,45,167,126,45
99,17,41,171,211,99,53,166,135,44,167,126,45
