Date: 8th feb
r,g,b,h,s,v,l,a,lab,y,cr,cb
88,41,57,170,136,88,60,152,128,57,150,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,41,57,170,138,89,61,152,128,57,151,128,300
89,40,57,170,140,89,60,153,128,57,151,128,300
87,40,57,169,138,87,59,152,127,56,150,129,300
88,40,57,169,139,88,59,152,127,56,151,129,300
89,41,57,170,138,89,61,152,128,57,151,128,300
88,41,57,170,136,88,60,152,128,57,150,128,300
87,40,57,169,138,87,59,152,127,56,150,129,300
88,41,57,170,136,88,60,152,128,57,150,128,300
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
76,25,51,165,171,76,45,155,123,43,152,133,400
75,25,52,164,170,75,45,155,122,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
77,26,49,166,169,77,46,154,125,44,152,131,400
76,26,49,166,168,76,46,154,125,44,151,131,400
75,25,51,164,170,75,45,155,123,43,151,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
78,26,49,167,170,78,47,155,125,44,152,131,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,51,164,170,75,45,155,123,43,151,133,400
75,25,52,164,170,75,45,155,122,43,151,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
77,25,51,165,172,77,46,156,123,44,152,132,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
75,25,50,165,170,75,45,154,124,43,151,132,400
77,25,51,165,172,77,46,156,123,44,152,132,400
77,25,51,165,172,77,46,156,123,44,152,132,400
77,25,51,165,172,77,46,156,123,44,152,132,400
78,26,49,167,170,78,47,155,125,44,152,131,400
78,26,49,167,170,78,47,155,125,44,152,131,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
77,25,51,165,172,77,46,156,123,44,152,132,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
78,26,49,167,170,78,47,155,125,44,152,131,400
77,26,49,166,169,77,46,154,125,44,152,131,400
77,25,51,165,172,77,46,156,123,44,152,132,400
77,25,51,165,172,77,46,156,123,44,152,132,400
74,25,52,163,169,74,45,155,122,43,150,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,52,164,170,75,45,155,122,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,52,164,170,75,45,155,122,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,51,165,171,76,45,155,123,43,152,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
75,25,52,164,170,75,45,155,122,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
78,26,49,167,170,78,47,155,125,44,152,131,400
77,25,52,164,172,77,46,156,123,44,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,52,164,170,75,45,155,122,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,52,164,170,75,45,155,122,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,51,164,170,75,45,155,123,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
77,25,51,165,172,77,46,156,123,44,152,132,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,51,164,170,75,45,155,123,43,151,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
76,25,52,164,171,76,46,155,123,43,152,133,400
75,25,51,164,170,75,45,155,123,43,151,133,400
46,2,41,153,244,46,18,155,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
46,1,42,153,249,46,18,156,113,19,147,141,500
46,2,42,153,244,46,18,156,113,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
47,2,41,154,244,47,18,156,114,20,147,140,500
